filename,label,filepath
n02102040_6936.JPEG,1,n02102040/n02102040_6936.JPEG
n02102040_858.JPEG,1,n02102040/n02102040_858.JPEG
n02102040_917.JPEG,1,n02102040/n02102040_917.JPEG
n02102040_5136.JPEG,1,n02102040/n02102040_5136.JPEG
n02102040_6068.JPEG,1,n02102040/n02102040_6068.JPEG
n02102040_745.JPEG,1,n02102040/n02102040_745.JPEG
n02102040_97.JPEG,1,n02102040/n02102040_97.JPEG
n02102040_1675.JPEG,1,n02102040/n02102040_1675.JPEG
n02102040_388.JPEG,1,n02102040/n02102040_388.JPEG
n02102040_7484.JPEG,1,n02102040/n02102040_7484.JPEG
ILSVRC2012_val_00027918.JPEG,1,n02102040/ILSVRC2012_val_00027918.JPEG
n02102040_2358.JPEG,1,n02102040/n02102040_2358.JPEG
n02102040_7494.JPEG,1,n02102040/n02102040_7494.JPEG
n02102040_1674.JPEG,1,n02102040/n02102040_1674.JPEG
n02102040_449.JPEG,1,n02102040/n02102040_449.JPEG
n02102040_2598.JPEG,1,n02102040/n02102040_2598.JPEG
n02102040_3889.JPEG,1,n02102040/n02102040_3889.JPEG
n02102040_4168.JPEG,1,n02102040/n02102040_4168.JPEG
n02102040_4636.JPEG,1,n02102040/n02102040_4636.JPEG
n02102040_1455.JPEG,1,n02102040/n02102040_1455.JPEG
n02102040_7784.JPEG,1,n02102040/n02102040_7784.JPEG
n02102040_4063.JPEG,1,n02102040/n02102040_4063.JPEG
n02102040_2948.JPEG,1,n02102040/n02102040_2948.JPEG
n02102040_3199.JPEG,1,n02102040/n02102040_3199.JPEG
n02102040_1289.JPEG,1,n02102040/n02102040_1289.JPEG
n02102040_2977.JPEG,1,n02102040/n02102040_2977.JPEG
n02102040_1249.JPEG,1,n02102040/n02102040_1249.JPEG
n02102040_295.JPEG,1,n02102040/n02102040_295.JPEG
n02102040_1105.JPEG,1,n02102040/n02102040_1105.JPEG
n02102040_1837.JPEG,1,n02102040/n02102040_1837.JPEG
n02102040_149.JPEG,1,n02102040/n02102040_149.JPEG
ILSVRC2012_val_00043994.JPEG,1,n02102040/ILSVRC2012_val_00043994.JPEG
n02102040_594.JPEG,1,n02102040/n02102040_594.JPEG
n02102040_6447.JPEG,1,n02102040/n02102040_6447.JPEG
n02102040_4704.JPEG,1,n02102040/n02102040_4704.JPEG
n02102040_733.JPEG,1,n02102040/n02102040_733.JPEG
ILSVRC2012_val_00019414.JPEG,1,n02102040/ILSVRC2012_val_00019414.JPEG
n02102040_3077.JPEG,1,n02102040/n02102040_3077.JPEG
n02102040_3088.JPEG,1,n02102040/n02102040_3088.JPEG
n02102040_1829.JPEG,1,n02102040/n02102040_1829.JPEG
n02102040_1859.JPEG,1,n02102040/n02102040_1859.JPEG
n02102040_5405.JPEG,1,n02102040/n02102040_5405.JPEG
n02102040_2216.JPEG,1,n02102040/n02102040_2216.JPEG
n02102040_958.JPEG,1,n02102040/n02102040_958.JPEG
n02102040_4325.JPEG,1,n02102040/n02102040_4325.JPEG
n02102040_1913.JPEG,1,n02102040/n02102040_1913.JPEG
ILSVRC2012_val_00049218.JPEG,1,n02102040/ILSVRC2012_val_00049218.JPEG
n02102040_2493.JPEG,1,n02102040/n02102040_2493.JPEG
n02102040_4554.JPEG,1,n02102040/n02102040_4554.JPEG
n02102040_5845.JPEG,1,n02102040/n02102040_5845.JPEG
n02102040_2034.JPEG,1,n02102040/n02102040_2034.JPEG
n02102040_1495.JPEG,1,n02102040/n02102040_1495.JPEG
n02102040_1103.JPEG,1,n02102040/n02102040_1103.JPEG
n02102040_6086.JPEG,1,n02102040/n02102040_6086.JPEG
n02102040_825.JPEG,1,n02102040/n02102040_825.JPEG
n02102040_4053.JPEG,1,n02102040/n02102040_4053.JPEG
n02102040_1079.JPEG,1,n02102040/n02102040_1079.JPEG
n02102040_6426.JPEG,1,n02102040/n02102040_6426.JPEG
n02102040_1239.JPEG,1,n02102040/n02102040_1239.JPEG
n02102040_5813.JPEG,1,n02102040/n02102040_5813.JPEG
n02102040_4414.JPEG,1,n02102040/n02102040_4414.JPEG
n02102040_7159.JPEG,1,n02102040/n02102040_7159.JPEG
n02102040_4484.JPEG,1,n02102040/n02102040_4484.JPEG
n02102040_4999.JPEG,1,n02102040/n02102040_4999.JPEG
